model_name,series,year_model,product_status,top_wood,back_sides_wood,shape,neck,pickup_eq,bracing,bridge,fingerboard,nut_saddle,tuner,strings,inlays,top_color,back_sides_color,headstock_facia,bridge_pins,neck_meets_body,num_frets,overall_length_mm,body_width_mm,body_depth_heel_mm,body_depth_base_mm,scale_mm,scale_inches,nut_width_mm,nut_width_inches,binding,purfling,armrest,body_finish,headstock_plate,neck_joint,case_bag,primary_image_url,source_url
AF60ce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,OM,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/af60ce-shadowburst/
AD66ce Shadowburst,Artist Guitars Series,2024,current,Solid African Mahogany,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ad66ce-shadowburst/
AD60ce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ad60ce-shadowburst/
AD60ce 12-String Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1047-12,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,,PPS Synthetic Bone,14th,21,1082,395,100,122,648,25 1/2,48,1 8/9,,,,,Techwood,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60ce-12-String-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ad60ce-12-string-shadowburst/
AEG80ce Armrest,Artist Elite Series,2024,current,Solid AA Sitka Spruce,Flamed Maple,Grand Auditorium,Maple,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEG80ce-Armrest_Left_3-4.png,https://alvarezguitars.com/guitar/aeg80ce-armrest/
AD60ce,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60ce_Left_3-4-2.png,https://alvarezguitars.com/guitar/ad60ce/
AD60Lce,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60Lce_Left_3-4-2.png,https://alvarezguitars.com/guitar/ad60lce/
AD70ce Black,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Dreadnought w/ Cutaway,Mahogany,LR Baggs Stage Pro Bronze,FS6,Rosewood,Rosewood,Real Bone,Premium Die Cast,D'Addario XTAPB1253,Acrylic,Black/Gloss,Natural/Gloss,,,14th Fret,21,1042,395,100,124,648,"25 1/2""",44.45,"1 3/4""",Ivory ABS,,,,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2018/02/AD70ce-Black_Left_3-4.png,https://alvarezguitars.com/guitar/ad70ce-black/
AD60ce 12-String Black,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1047-12,MOP & Arylic,Black/Gloss,Black/Semi Gloss,Techwood,PPS Synthetic Bone,14th,21,1082,395,100,122,648,25 1/2,48,1 8/9,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60ce-12String-Black_Left_3-4.png,https://alvarezguitars.com/guitar/ad60ce-12-string-black/
AED90ce Armrest,Artist Elite Series,2024,current,Solid AA Sitka Spruce,Macassar Ebony,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AED90ce-Armrest_Left_3-4.png,https://alvarezguitars.com/guitar/aed90ce-armrest/
AEG70ce Armrest,Artist Elite Series,2024,current,Solid AA Sitka Spruce,Rosewood,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEG70_Left_3-4.png,https://alvarezguitars.com/guitar/aeg70ce-armrest/
AG60Lce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG60Lce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ag60lce-shadowburst/
AF66ce Shadowburst,Artist Guitars Series,2024,current,Solid African Mahogany,African Mahogany,OM,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/af66ce-shadowburst/
AF30CE,Artist Guitars Series,2024,current,Solid A Sitka Spruce,Sapeli,OM,African Mahogany,SYS250,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,Decal & ABS,Natural/Semi Gloss,Natural/Open Pore,Techwood,ABS,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF30CE_Front-Left_3-4.png,https://alvarezguitars.com/guitar/af30ce/
AG60 Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Grand Auditorium,African Mahogany,,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG60-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ag60-shadowburst/
AF70ce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,OM,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Shadowburst/Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF70ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/af70ce-shadowburst/
AEBT70ce Armrest,Artist Elite Series,2024,current,Solid AA Sitka Spruce,Rosewood,Baritone,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEBT70ce-Armrest_Left_3-4.png,https://alvarezguitars.com/guitar/aebt70ce-armrest/
AEG95ce Shadowburst,Artist Elite Series,2024,current,Solid AA Western Red Cedar,Macassar Ebony,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEG95ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/aeg95ce-shadowburst/
AF70e,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,OM,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF70e_Left_3-4.png,https://alvarezguitars.com/guitar/af70e/
AG60ce Armrest,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Rosewood Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG60ce-Armrest_Left_3-4.png,https://alvarezguitars.com/guitar/ag60ce-armrest/
AF60 Shadowburst,Artist Guitars Series,2024,current,"Solid A+ Sitka Spruce, African Mahogany",,OM,African Mahogany,,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF60-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/af60-shadowburst/
AEB70ce Armrest Shadowburst,Artist Elite Series,2024,current,Solid AA Sitka Spruce,Rosewood,Bass,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario EXPPBB170,MOP & Arylic,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,15th,20,1162,420,102,122,813,32,43,1 11/16,,,Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEB70ce-Armrest-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/aeb70ce-armrest-shadowburst/
AED66ce Armrest,Artist Elite Series,2024,current,Solid African Mahogany,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,Ebony Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AED66ce-Armrest_Left.png,https://alvarezguitars.com/guitar/aed66ce-armrest/
AD60L,Artist Guitars Series,,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,"Mahogany, 50/50 Semi gloss finish",,"FS6 Forward Shifted, Tapered Tone Bars",Bi-Level Indian Laurel/Rosewood,Indian Laurel/Rosewood w/12th Fret Inlay,Real Bone,Premium Die Cast,D'Addario EXP16,,,,,PPS,14th Fret,21,1042,395,100,124,648,25 1/2,44.45,1 3/4,Ivory ABS,,,Natural/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/AD60L-Front-3_4-2.jpg,https://alvarezguitars.com/guitar/ad60l/
AG60ce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ag60ce-shadowburst/
AG60ce 8-String Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG60ce-8-String-Shadowburst_Left_3-4-6.png,https://alvarezguitars.com/guitar/ag60ce-8-string-shadowburst/
AEG99ce Armrest Shadowburst,Artist Elite Series,2024,current,Solid AA Western Red Cedar,Figured Acacia,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Shadowburst/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Slim Flamed Maple Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AEG99ce-Armrest-Shadowburst_Left.webp,https://alvarezguitars.com/guitar/aeg99ce-armrest-shadowburst/
AF30,Artist Guitars Series,2024,current,Solid A Sitka Spruce,Sapeli,OM,African Mahogany,,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,Decal & ABS,Natural/Semi Gloss,Natural/Open Pore,,ABS,14th,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,Techwood,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AF30_Front-Left_3-4.png,https://alvarezguitars.com/guitar/af30/
AG66ce Shadowburst,Artist Guitars Series,2024,current,Solid African Mahogany,African Mahogany,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ag66ce-shadowburst/
AG70ce 12-String Black,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1047-12,MOP & Arylic,Black/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1078,404,96,120,648,25 1/2,48,1 8/9,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG70ce-12-String-Black_Left_3-4.png,https://alvarezguitars.com/guitar/ag70ce-12-string-black/
ALJ2,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Little Jumbo,African Mahogany,,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Semi Gloss,Natural/Open Pore,,ABS,14th,20,946,362,90,104,600,23 5/8,44.45,1 3/4,,,,,Techwood,,AGB15,https://alvarezguitars.com/wp-content/uploads/2023/08/ALJ2_Left_3-4.png,https://alvarezguitars.com/guitar/alj2/
ALJ2E,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Little Jumbo,African Mahogany,SYS250,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Semi Gloss,Natural/Open Pore,,ABS,14th,20,946,362,90,104,600,23 5/8,44.45,1 3/4,,,,,Techwood,,AGB15,https://alvarezguitars.com/wp-content/uploads/2023/08/ALJ2E_Left_3-4-3.png,https://alvarezguitars.com/guitar/alj2e/
